Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
5,Dallas Mavericks*,82,19805,.459,12.1,,.799,.290,.159,.129,.219,.201,,.488,.619,.414,.428,.402,.348,,.548,.828,,.024,163,,.243,1021,,.168,.373,,18,0,2004
6,Denver Nuggets*,82,19730,.443,11.3,,.854,.345,.111,.127,.272,.146,,.461,.597,.365,.377,.365,.336,,.574,.801,,.070,425,,.242,868,,.192,.381,,10,0,2004
7,Detroit Pistons*,82,19780,.435,10.7,,.847,.340,.153,.175,.179,.153,,.452,.566,.356,.393,.374,.344,,.592,.817,,.053,299,,.259,822,,.257,.394,,7,0,2004
8,Golden State Warriors,82,19855,.442,11.9,,.803,.272,.196,.117,.218,.197,,.468,.654,.358,.346,.399,.334,,.526,.918,,.045,270,,.202,794,,.254,.356,,17,1,2004
9,Houston Rockets*,82,19930,.442,12.7,,.773,.268,.153,.141,.211,.227,,.464,.596,.383,.402,.398,.366,,.512,.854,,.054,289,,.203,658,,.315,.384,,16,0,2004
10,Indiana Pacers*,82,19805,.435,12.1,,.797,.288,.156,.157,.196,.203,,.457,.589,.366,.368,.407,.351,,.600,.871,,.052,301,,.215,668,,.330,.383,,8,0,2004
11,Los Angeles Clippers,82,19805,.428,11.0,,.844,.341,.155,.130,.218,.156,,.448,.574,.398,.341,.351,.321,,.550,.866,,.046,283,,.263,879,,.135,.312,,11,0,2004
12,Los Angeles Lakers*,82,19855,.454,11.5,,.833,.326,.143,.126,.238,.167,,.479,.632,.392,.369,.379,.327,,.608,.901,,.054,333,,.250,959,,.239,.322,,16,1,2004
13,Memphis Grizzlies*,82,19880,.445,11.1,,.803,.342,.170,.101,.190,.197,,.471,.596,.393,.346,.381,.340,,.609,.857,,.065,384,,.252,899,,.277,.330,,20,2,2004
14,Miami Heat*,82,19755,.425,12.3,,.789,.297,.143,.117,.231,.211,,.443,.562,.394,.323,.382,.357,,.505,.889,,.038,211,,.232,758,,.228,.427,,19,0,2004
15,Milwaukee Bucks*,82,19780,.447,11.2,,.828,.320,.152,.176,.179,.172,,.467,.578,.424,.384,.385,.350,,.588,.903,,.054,325,,.245,835,,.261,.328,,9,0,2004
16,Minnesota Timberwolves*,82,19755,.462,13.0,,.863,.206,.147,.210,.301,.137,,.477,.620,.440,.431,.429,.363,,.591,.890,,.030,191,,.153,564,,.259,.397,,13,0,2004
17,New Jersey Nets*,82,19705,.441,11.9,,.824,.332,.111,.113,.268,.176,,.464,.609,.342,.357,.381,.336,,.687,.889,,.067,394,,.230,785,,.185,.409,,16,2,2004
18,New Orleans Hornets*,82,19830,.420,12.8,,.748,.294,.115,.131,.209,.252,,.454,.568,.363,.377,.391,.319,,.591,.738,,.044,263,,.229,770,,.232,.331,,12,1,2004
19,New York Knicks*,82,19880,.442,12.2,,.829,.259,.156,.177,.237,.171,,.459,.568,.419,.418,.395,.364,,.548,.835,,.022,134,,.213,725,,.271,.384,,12,0,2004
20,Orlando Magic,82,19830,.429,12.8,,.816,.260,.138,.145,.273,.184,,.448,.551,.402,.395,.403,.344,,.504,.786,,.036,219,,.197,657,,.190,.376,,4,0,2004
21,Philadelphia 76ers,82,19855,.428,11.3,,.842,.319,.132,.174,.216,.158,,.445,.562,.370,.360,.385,.342,,.567,.920,,.043,239,,.252,769,,.316,.383,,7,0,2004
22,Phoenix Suns,82,19730,.443,11.4,,.820,.327,.137,.146,.210,.180,,.465,.587,.441,.350,.371,.345,,.482,.870,,.057,343,,.247,860,,.337,.407,,14,0,2004
