Rk,Team,G,MP,FG%,Dist.,per_FGA_2P,per_FGA_0-3,per_FGA_3-10,per_FGA_10-16,per_FGA_16-3P,per_FGA_3P,FGA%_2P,FGA%_0-3,FGA%_3-10,FGA%_10-16,FGA%_16-3P,FGA%_3P,FG_astd_2P,FG_astd_3P,dunk_%FGA,dunk_Md.,corner_%3PA,corner_3P%,heaves_Att.,heaves_Md.,Year
11,Indiana Pacers*,82,19905,.446,12.4,.818,.236,.193,.168,.222,.182,.470,.639,.408,.389,.405,.339,.601,.896,.052,311,.288,.384,11,0,2002
12,Los Angeles Clippers,82,19805,.445,11.3,.828,.261,.230,.184,.153,.172,.464,.632,.404,.380,.369,.356,.523,.919,.056,342,.113,.408,9,0,2002
13,Los Angeles Lakers*,82,19780,.461,12.3,.790,.280,.167,.137,.206,.210,.489,.657,.414,.403,.379,.354,.539,.902,.078,489,.257,.419,15,1,2002
14,Memphis Grizzlies,82,19780,.436,11.6,.832,.288,.176,.135,.233,.168,.462,.622,.362,.370,.394,.307,.613,.723,.075,445,.215,.352,11,0,2002
15,Miami Heat,82,19930,.439,12.9,.859,.238,.134,.164,.323,.141,.454,.638,.389,.370,.388,.347,.556,.894,.047,267,.305,.416,19,1,2002
16,Milwaukee Bucks,82,19905,.462,13.1,.759,.237,.126,.236,.160,.241,.490,.571,.466,.466,.425,.375,.550,.841,.036,215,.268,.399,18,0,2002
17,Minnesota Timberwolves*,82,19805,.461,12.4,.848,.236,.175,.151,.286,.152,.476,.629,.420,.426,.409,.378,.604,.793,.037,235,.211,.398,9,0,2002
18,New Jersey Nets*,82,19830,.446,11.6,.825,.327,.135,.133,.230,.175,.469,.610,.382,.361,.383,.338,.620,.876,.077,463,.193,.364,18,0,2002
19,New York Knicks,82,19805,.432,12.5,.794,.246,.159,.190,.198,.206,.453,.556,.419,.403,.399,.353,.566,.829,.021,124,.271,.354,5,1,2002
20,Orlando Magic*,82,19830,.448,12.9,.759,.294,.113,.109,.242,.241,.471,.610,.377,.369,.394,.373,.519,.845,.046,275,.192,.417,7,0,2002
21,Philadelphia 76ers*,82,19730,.436,10.8,.889,.304,.149,.217,.218,.111,.453,.592,.395,.345,.405,.299,.558,.897,.024,141,.238,.406,3,0,2002
22,Phoenix Suns,82,19830,.447,11.1,.842,.330,.142,.162,.208,.158,.469,.588,.388,.387,.400,.327,.567,.796,.045,286,.219,.313,7,0,2002
23,Portland Trail Blazers*,82,19830,.450,12.4,.802,.307,.123,.117,.255,.198,.474,.612,.361,.397,.397,.354,.602,.856,.068,425,.208,.394,11,0,2002
24,Sacramento Kings*,82,19755,.467,11.7,.834,.317,.135,.104,.278,.166,.486,.626,.383,.402,.409,.367,.560,.866,.049,318,.317,.399,8,0,2002
25,San Antonio Spurs*,82,19855,.458,11.2,.810,.314,.166,.177,.153,.190,.480,.643,.407,.369,.356,.362,.507,.886,.061,358,.364,.440,8,0,2002
26,Seattle SuperSonics*,82,19830,.469,11.8,.807,.280,.190,.121,.216,.193,.490,.636,.387,.393,.446,.378,.560,.912,.047,277,.261,.374,8,0,2002
27,Toronto Raptors*,82,19755,.434,12.2,.835,.284,.121,.192,.238,.165,.451,.578,.395,.377,.387,.349,.571,.858,.045,275,.214,.418,18,0,2002
28,Utah Jazz*,82,19830,.450,10.7,.868,.380,.102,.124,.261,.132,.468,.584,.300,.369,.411,.333,.678,.871,.048,280,.215,.343,7,0,2002
29,Washington Wizards,82,19730,.441,12.5,.882,.214,.159,.222,.287,.118,.448,.631,.324,.394,.422,.388,.561,.784,.041,267,.168,.439,3,0,2002
,League Average,82,19816,.445,12.0,.819,.287,.148,.153,.230,.181,.465,.605,.382,.388,.397,.354,.564,.856,.048,291,.235,.384,10.8,0.3,2002
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2003
1,Atlanta Hawks,82,19905,.444,11.9,.823,.269,.158,.181,.214,.177,.464,.584,.381,.423,.410,.352,.543,.856,.048,297,.276,.397,9,0,2003
2,Boston Celtics*,82,19830,.415,13.8,.669,.268,.140,.109,.152,.331,.455,.618,.319,.346,.371,.334,.496,.823,.034,204,.230,.343,17,1,2003
3,Chicago Bulls,82,19930,.445,10.9,.852,.324,.169,.148,.211,.148,.462,.590,.405,.366,.380,.350,.562,.848,.059,370,.260,.363,7,0,2003
4,Cleveland Cavaliers,82,19830,.422,11.1,.867,.303,.159,.188,.216,.133,.437,.596,.331,.361,.359,.327,.572,.853,.064,381,.335,.373,21,0,2003
5,Dallas Mavericks*,82,19780,.453,13.2,.761,.253,.131,.136,.241,.239,.475,.622,.416,.408,.391,.381,.515,.843,.032,211,.242,.372,11,0,2003
6,Denver Nuggets,82,19730,.411,11.2,.874,.297,.171,.135,.272,.126,.430,.567,.341,.380,.361,.278,.629,.825,.068,390,.242,.251,8,0,2003
7,Detroit Pistons*,82,19905,.430,13.1,.763,.264,.135,.145,.219,.237,.452,.568,.420,.364,.393,.358,.553,.792,.032,179,.241,.362,10,1,2003
8,Golden State Warriors,82,19755,.441,11.6,.822,.271,.207,.123,.222,.178,.462,.638,.361,.405,.373,.344,.517,.819,.046,300,.217,.336,11,0,2003
9,Houston Rockets,82,19930,.440,12.1,.804,.305,.145,.126,.229,.196,.462,.605,.380,.366,.376,.346,.466,.879,.065,381,.240,.342,20,1,2003
10,Indiana Pacers*,82,19905,.441,12.0,.831,.278,.163,.163,.226,.169,.461,.632,.357,.369,.392,.339,.623,.876,.043,270,.222,.310,5,0,2003
11,Los Angeles Clippers,82,19755,.437,11.1,.818,.317,.194,.137,.170,.182,.460,.591,.404,.334,.382,.331,.518,.869,.050,300,.152,.341,19,0,2003
12,Los Angeles Lakers*,82,19930,.451,12.3,.801,.283,.159,.134,.225,.199,.475,.641,.385,.352,.402,.356,.571,.864,.077,489,.243,.346,11,0,2003
13,Memphis Grizzlies,82,19930,.452,11.9,.810,.287,.173,.132,.218,.190,.473,.614,.404,.377,.399,.365,.584,.822,.061,371,.258,.421,13,0,2003
14,Miami Heat,82,19830,.412,12.9,.831,.251,.127,.154,.299,.169,.432,.561,.391,.362,.378,.316,.519,.825,.034,183,.278,.359,20,0,2003
15,Milwaukee Bucks*,82,19905,.457,12.6,.771,.267,.136,.191,.177,.229,.478,.599,.406,.431,.403,.383,.527,.899,.029,171,.259,.352,13,0,2003
16,Minnesota Timberwolves*,82,19805,.466,12.3,.882,.249,.150,.156,.327,.118,.479,.622,.435,.420,.418,.368,.632,.851,.043,278,.239,.370,7,1,2003
17,New Jersey Nets*,82,19755,.441,11.3,.842,.340,.133,.112,.258,.158,.462,.603,.371,.362,.366,.332,.617,.890,.069,406,.190,.389,11,0,2003
18,New Orleans Hornets*,82,19905,.435,12.0,.839,.278,.132,.187,.241,.161,.447,.563,.392,.402,.377,.376,.582,.854,.043,259,.251,.430,6,0,2003
19,New York Knicks,82,19855,.441,13.5,.765,.210,.145,.188,.222,.235,.459,.554,.437,.436,.403,.383,.555,.807,.017,102,.263,.425,12,0,2003
20,Orlando Magic*,82,19805,.436,13.5,.765,.292,.080,.098,.295,.235,.460,.557,.381,.388,.408,.357,.515,.792,.035,218,.188,.341,9,0,2003
21,Philadelphia 76ers*,82,19855,.448,10.1,.881,.367,.144,.169,.202,.119,.466,.580,.407,.352,.398,.311,.567,.910,.032,199,.283,.345,6,1,2003
22,Phoenix Suns*,82,19805,.443,11.2,.830,.323,.148,.147,.213,.170,.464,.575,.395,.386,.398,.343,.530,.850,.055,339,.361,.398,14,0,2003
23,Portland Trail Blazers*,82,19855,.460,11.4,.823,.317,.159,.132,.215,.177,.488,.635,.407,.420,.374,.330,.585,.881,.059,350,.235,.356,22,0,2003
24,Sacramento Kings*,82,19830,.464,12.5,.816,.282,.142,.099,.293,.184,.482,.652,.380,.375,.405,.381,.583,.874,.048,308,.362,.431,25,0,2003
25,San Antonio Spurs*,82,19830,.462,11.2,.798,.313,.189,.133,.163,.202,.489,.634,.423,.388,.371,.354,.499,.909,.058,322,.400,.376,10,0,2003
26,Seattle SuperSonics,82,19855,.437,12.6,.804,.247,.177,.129,.250,.196,.458,.633,.366,.426,.366,.353,.560,.906,.037,221,.268,.344,10,0,2003
27,Toronto Raptors,82,19805,.427,12.4,.821,.278,.135,.144,.263,.179,.446,.586,.366,.381,.374,.343,.510,.829,.042,259,.272,.389,10,0,2003
28,Utah Jazz*,82,19780,.468,11.1,.896,.337,.111,.139,.310,.104,.481,.634,.338,.392,.406,.349,.713,.884,.039,231,.200,.391,10,1,2003
29,Washington Wizards,82,19830,.440,12.7,.873,.231,.130,.203,.309,.127,.459,.623,.313,.423,.422,.312,.541,.893,.043,265,.276,.335,2,0,2003
,League Average,82,19841,.442,12.1,.818,.286,.150,.146,.236,.182,.463,.603,.384,.388,.389,.349,.560,.852,.047,285,.257,.369,12.0,0.2,2003
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2004
1,Atlanta Hawks,82,19905,.433,11.7,.809,.303,.148,.153,.205,.191,.456,.577,.371,.363,.409,.335,.537,.845,.045,289,.292,.370,2,0,2004
2,Boston Celtics*,82,19705,.443,13.0,.751,.285,.126,.118,.222,.249,.475,.608,.350,.394,.420,.346,.524,.875,.048,284,.259,.394,10,0,2004
3,Chicago Bulls,82,19830,.414,12.4,.814,.283,.130,.142,.259,.186,.431,.537,.385,.349,.383,.342,.614,.790,.045,283,.214,.349,10,1,2004
4,Cleveland Cavaliers,82,19855,.433,10.6,.884,.318,.173,.196,.197,.116,.448,.586,.355,.387,.368,.314,.595,.879,.051,322,.290,.338,13,0,2004
5,Dallas Mavericks*,82,19805,.459,12.1,.799,.290,.159,.129,.219,.201,.488,.619,.414,.428,.402,.348,.548,.828,.024,163,.168,.373,18,0,2004
6,Denver Nuggets*,82,19730,.443,11.3,.854,.345,.111,.127,.272,.146,.461,.597,.365,.377,.365,.336,.574,.801,.070,425,.192,.381,10,0,2004
7,Detroit Pistons*,82,19780,.435,10.7,.847,.340,.153,.175,.179,.153,.452,.566,.356,.393,.374,.344,.592,.817,.053,299,.257,.394,7,0,2004
8,Golden State Warriors,82,19855,.442,11.9,.803,.272,.196,.117,.218,.197,.468,.654,.358,.346,.399,.334,.526,.918,.045,270,.254,.356,17,1,2004
9,Houston Rockets*,82,19930,.442,12.7,.773,.268,.153,.141,.211,.227,.464,.596,.383,.402,.398,.366,.512,.854,.054,289,.315,.384,16,0,2004
10,Indiana Pacers*,82,19805,.435,12.1,.797,.288,.156,.157,.196,.203,.457,.589,.366,.368,.407,.351,.600,.871,.052,301,.330,.383,8,0,2004
11,Los Angeles Clippers,82,19805,.428,11.0,.844,.341,.155,.130,.218,.156,.448,.574,.398,.341,.351,.321,.550,.866,.046,283,.135,.312,11,0,2004
12,Los Angeles Lakers*,82,19855,.454,11.5,.833,.326,.143,.126,.238,.167,.479,.632,.392,.369,.379,.327,.608,.901,.054,333,.239,.322,16,1,2004
13,Memphis Grizzlies*,82,19880,.445,11.1,.803,.342,.170,.101,.190,.197,.471,.596,.393,.346,.381,.340,.609,.857,.065,384,.277,.330,20,2,2004
14,Miami Heat*,82,19755,.425,12.3,.789,.297,.143,.117,.231,.211,.443,.562,.394,.323,.382,.357,.505,.889,.038,211,.228,.427,19,0,2004
15,Milwaukee Bucks*,82,19780,.447,11.2,.828,.320,.152,.176,.179,.172,.467,.578,.424,.384,.385,.350,.588,.903,.054,325,.261,.328,9,0,2004
16,Minnesota Timberwolves*,82,19755,.462,13.0,.863,.206,.147,.210,.301,.137,.477,.620,.440,.431,.429,.363,.591,.890,.030,191,.259,.397,13,0,2004
17,New Jersey Nets*,82,19705,.441,11.9,.824,.332,.111,.113,.268,.176,.464,.609,.342,.357,.381,.336,.687,.889,.067,394,.185,.409,16,2,2004
18,New Orleans Hornets*,82,19830,.420,12.8,.748,.294,.115,.131,.209,.252,.454,.568,.363,.377,.391,.319,.591,.738,.044,263,.232,.331,12,1,2004
19,New York Knicks*,82,19880,.442,12.2,.829,.259,.156,.177,.237,.171,.459,.568,.419,.418,.395,.364,.548,.835,.022,134,.271,.384,12,0,2004
20,Orlando Magic,82,19830,.429,12.8,.816,.260,.138,.145,.273,.184,.448,.551,.402,.395,.403,.344,.504,.786,.036,219,.190,.376,4,0,2004
21,Philadelphia 76ers,82,19855,.428,11.3,.842,.319,.132,.174,.216,.158,.445,.562,.370,.360,.385,.342,.567,.920,.043,239,.316,.383,7,0,2004
22,Phoenix Suns,82,19730,.443,11.4,.820,.327,.137,.146,.210,.180,.465,.587,.441,.350,.371,.345,.482,.870,.057,343,.337,.407,14,0,2004
23,Portland Trail Blazers,82,19980,.448,11.5,.830,.300,.171,.141,.218,.170,.469,.597,.410,.415,.375,.346,.571,.866,.055,339,.188,.362,10,0,2004
24,Sacramento Kings*,82,19780,.462,13.0,.777,.277,.128,.089,.284,.223,.480,.636,.340,.383,.421,.401,.653,.862,.035,220,.307,.422,12,0,2004
25,San Antonio Spurs*,82,19755,.442,11.6,.823,.282,.197,.144,.200,.177,.460,.623,.373,.383,.371,.358,.543,.868,.039,228,.363,.394,12,0,2004
26,Seattle SuperSonics,82,19805,.446,13.5,.706,.245,.158,.121,.182,.294,.476,.655,.377,.389,.380,.373,.519,.876,.052,305,.272,.408,19,0,2004
27,Toronto Raptors,82,19980,.418,13.1,.796,.252,.123,.155,.267,.204,.434,.575,.398,.346,.368,.356,.519,.944,.041,238,.451,.405,8,0,2004
28,Utah Jazz,82,19780,.436,11.5,.873,.357,.085,.104,.327,.127,.453,.555,.353,.357,.397,.321,.598,.845,.041,232,.229,.361,8,0,2004
29,Washington Wizards,82,19830,.421,11.9,.806,.290,.180,.123,.213,.194,.440,.618,.317,.340,.358,.341,.511,.808,.053,325,.214,.371,4,0,2004
,League Average,82,19825,.439,12.0,.813,.297,.147,.141,.229,.187,.460,.592,.382,.377,.388,.347,.565,.857,.047,280,.261,.378,11.6,0.3,2004
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.,2005
1,Atlanta Hawks,82,19855,.441,10.4,.854,.371,.141,.139,.204,.146,.463,.579,.341,.331,.426,.312,.511,.872,.056,354,.265,.295,16,0,2005
2,Boston Celtics*,82,19880,.468,11.3,.808,.364,.119,.113,.212,.192,.496,.614,.360,.379,.433,.349,.543,.899,.049,305,.296,.381,12,0,2005
3,Charlotte Bobcats,82,19880,.432,11.7,.872,.284,.149,.145,.294,.128,.442,.574,.375,.351,.392,.363,.570,.903,.036,232,.344,.413,6,0,2005
4,Chicago Bulls*,82,19830,.432,12.3,.783,.297,.144,.128,.214,.217,.453,.566,.374,.367,.401,.357,.569,.806,.044,272,.234,.402,5,0,2005
